date_time,country,city,state,shape,summary,lat,lng,location
1/10/16 20:35,USA,Millsap,TX,Disk,"Bright blue flying saucer near Stephenville, TX, with a small plane ",32.7481864,-98.0092092,POINT(-98.0092092 32.7481864)
,,,,,following it.,,,
1/10/16 20:30,USA,Candor,NC,Cylinder,@ approximately 8:30 PM when I noticed a large aircraft about the size of a ,35.2951421,-79.7453163,POINT(-79.7453163 35.2951421)
,,,,,small sedan hovering just above nearby trees.,,,
1/10/16 20:10,USA,Havre de Grace,MD,Circle,"Three orange glows appeared in the sky in Havre de Grace, MD",39.5489964,-76.0914717,POINT(-76.0914717 39.5489964)
1/10/16 20:00,USA,Graham,WA,Light,Bright white orb of light lasting several minutes.,47.0395996,-122.2785728,POINT(-122.2785728 47.0395996)
1/10/16 20:00,USA,High Ridge,MO,Oval,Long blimp like shaped ufo.,38.4589432,-90.5365125,POINT(-90.5365125 38.4589432)
7/12/16 0:00,USA,Saint Augustine,FL,Circle,"I was in my car driving South on San Marco Blvd in St. Augustine, Fl, ",29.8946952,-81.3145394,POINT(-81.3145394 29.8946952)
,,,,,Wednesday evening around 7. I noticed a foreign light in the sky,,,
1/10/16 19:45,USA,Grand Blanc,MI,Light,Bright orange lights in sky flying east to west.,42.9275277,-83.6299517,POINT(-83.6299517 42.9275277)
1/10/16 19:45,USA,Denver,CO,Formation,5 orange lights flying in formation in the sky.,39.7348381,-104.965327,POINT(-104.965327 39.7348381)
1/10/16 19:30,USA,Glenrock,WY,Disk,"Disc object southwest of Glenrock, Wy.",35.342101,-119.0727129,POINT(-119.0727129 35.342101)
1/10/16 19:30,USA,Tampa,FL,Light,Bright blue light hovering over Tampa.,27.9518491,-82.4563971,POINT(-82.4563971 27.9518491)
1/10/16 19:30,USA,Phoenix,AZ,Other,7 objects appearing to be fire going over phoenix az sky at around 730 pm ,33.4485866,-112.0773455,POINT(-112.0773455 33.4485866)
,,,,,on oct.1 2016,,,
1/10/16 19:00,USA,Boulder,CO,Triangle,The sky was lit but the sun was down. You could see the perfect outline of ,40.102555,-105.3632078,POINT(-105.3632078 40.102555)
,,,,,"a triangle, no lights on , perhaps 50-75ft from the ground.",,,
1/10/16 19:00,USA,Sullivan,IL,Fireball,Me and my father were watching the space station on 10/1/2016. I walk into ,41.7156311,-74.7804322,POINT(-74.7804322 41.7156311)
,,,,,the house as my dad calls me out to see this burning ball th,,,
1/10/16 18:15,USA,Fernley,NV,Cylinder,"Cylindrical silver craft, no lights, no sound, stationary, grew super ",39.5483805,-119.2144685,POINT(-119.214468455863 39.5483805)
,,,,,"bright, then dimmed and disappeared.",,,
1/10/16 16:20,USA,West Park,PA,Triangle,Three solid lights with no other blinking lights or sound covering a angle ,40.4742354,-80.0775554,POINT(-80.0775554 40.4742354)
,,,,,of sight of pi/2 for the duration of the event,,,
1/10/16 14:50,USA,Orlando,FL,Triangle,"Triangle craft above Orlando, emitting an energy beam underneath it.",28.5479786,-81.41278409,POINT(-81.4127840856302 28.5479786)
7/12/16 23:30,USA,Anchorage,AK,Flash,Three stationary light pulses over the Chugach range.,61.2163129,-149.8948522,POINT(-149.8948522 61.2163129)
1/10/16 12:01,USA,Madera,CA,Unknown,Was laying in bed thought I heard fireworks then all of a sudden louder ,37.1716264,-119.773799,POINT(-119.773799 37.1716264)
,,,,,noise tree rumbling and sounded like something ran across the t,,,
1/10/16 9:15,USA,Geneva,NY,Flash,"Green flash in Geneva, NY. ((anonymous report))",42.8689552,-76.9777435,POINT(-76.9777435 42.8689552)
1/10/16 8:33,USA,Lemitar,NM,Fireball,6 Orange orbs in the sky in Lemitar.,34.1597887,-106.910306,POINT(-106.910306 34.1597887)
1/10/16 8:00,USA,Blue Ridge,GA,Other,A bright round circular red orange light went straight up the mountain side ,34.863972,-84.3240869,POINT(-84.3240869 34.863972)
,,,,,hovered around dipped and went back up to dip again and d,,,
1/10/16 6:00,USA,Recluse,WY,Light,"A bright color changing light in night sky. Flying at high speed, in all ",44.7411124,-105.7080576,POINT(-105.7080576 44.7411124)
,,,,,directions. ((anonymous report)) ((NUFORC Note: Star? PD)),,,
1/10/16 5:30,USA,Ferndale,WA,Light,Blinking light in the sky with unusual movements.,48.8466698,-122.5897234,POINT(-122.5897234 48.8466698)
1/10/16 5:30,USA,Kenner,LA,Circle,"I saw 9 objects flying in the sky,they were changing shapes and then they ",29.9942265,-90.2417805,POINT(-90.2417805 29.9942265)
,,,,,disappear in the sky. ((anonymous report)),,,
1/10/16 3:30,USA,St. Augustine,FL,Light,"I was outside at work, and there were 3 lights in the sky going North to ",29.8946952,-81.3145394,POINT(-81.3145394 29.8946952)
,,,,,"South...started in a straight line, then separated with the ce",,,
1/10/16 2:00,USA,Minneapolis,MN,Changing,Odd lights in south Minneapolis.,44.9772995,-93.2654691,POINT(-93.2654691 44.9772995)
9/30/16 23:22,USA,Naples,FL,Changing,Flowing lights over Naples.,26.1420358,-81.7948102,POINT(-81.7948102 26.1420358)
12/19/16 6:50,USA,Town and Country,MO,Light,"I was heading N on Barrett Stat. Rd, saw glimmering in the sky N of ",38.6122751,-90.4634531,POINT(-90.4634531 38.6122751)
,,,,,Manchester slowly drifting. many different colours.,,,
7/12/16 22:50,USA,Napili,HI,Fireball,Large bright fireball.,20.9717546,-156.6756045,POINT(-156.675604521001 20.9717546)
9/30/16 23:15,USA,Marlton,NJ,Unknown,Weird humming noise in the middle of the night.,39.8912248,-74.9218324,POINT(-74.9218324 39.8912248)
9/30/16 21:34,USA,Honolulu,HI,Rectangle,"While walking at Ala Moana Beach park, other evening. We observed A bright ",21.304547,-157.8556763,POINT(-157.8556763 21.304547)
,,,,,"reddish object floating and drifting in the skies, out ove",,,
9/30/16 21:00,USA,Mooresville,NC,Sphere,spinning sphere with colors and more details closeup 42x zoom,35.5848596,-80.8100723,POINT(-80.8100723 35.5848596)
9/30/16 20:45,CANADA,Sault Ste. Marie,ON,Circle,Orange circle moving quickly...,46.52391,-84.3200679,POINT(-84.3200679 46.52391)
9/30/16 20:30,USA,Arvada,CO,Formation,7-9 glowing white lights in arrow formation flying east to west fast and low,39.8211225,-105.2207429,POINT(-105.220742890446 39.8211225)
9/30/16 20:00,USA,Pittsfield,ME,Light,Bright Light drifting across sky turns reddish and disappears in heavens,44.78281,-69.3834689,POINT(-69.3834689 44.78281)
9/30/16 19:30,USA,Oxnard,CA,Unknown,"Oxnard, CA, Bright white lighted craft flies in from Pacific ocean and ",34.1976308,-119.1803817,POINT(-119.1803817 34.1976308)
,,,,,flies back out to ocean 3 seperate times changing colors,,,
9/30/16 19:10,USA,Eastvale,CA,Light,White orb.,33.9766799,-117.5598443,POINT(-117.5598443 33.9766799)
9/30/16 19:00,USA,Cape Coral,FL,Other,I saw a boomerang shape ufo that had no sound and camouflage into the sky. ,26.6058996,-81.9807339,POINT(-81.9807339 26.6058996)
,,,,,I could only see the outline,,,
9/30/16 15:30,USA,Las Vegas,NV,Oval,"((NUFORC Note: No information provided by source, who elects to remain ",36.1662859,-115.1492249,POINT(-115.1492249 36.1662859)
,,,,,anonymous. PD)),,,
7/12/16 22:10,USA,Bellingham,WA,Fireball,Meteor like white decending east to west.,48.754402,-122.4788601,POINT(-122.4788601 48.754402)
9/30/16 7:10,USA,Weiser,ID,Light,Saw small bright blue strobe traveling at a fast rate South of Manns Creek,44.2509976,-116.9693326,POINT(-116.9693326 44.2509976)
9/29/16 23:30,USA,Sanborn,NY,Oval,"3 orbs dancing/chasing each other in circles in Sanborn, NY. ((anonymous ",43.136723,-78.884761,POINT(-78.884761 43.136723)
,,,,,report)),,,
9/29/16 22:10,USA,Phenix City,AL,Egg,I was on my break for work. I noticed that the sky looked like it drop to ,32.4709761,-85.0007652,POINT(-85.0007652 32.4709761)
,,,,,the earth because the stars were so close.,,,
9/29/16 22:00,USA,Logan,KS,Light,As we were walking from our RV to the house I noticed a bright light. I ,38.9058216,-101.155238,POINT(-101.155238 38.9058216)
,,,,,"thought it was a shooting star at first, as it was a perfect fa",,,
9/29/16 21:00,USA,Kennewick,WA,Unknown,Southern sky lit up in bright flash.,46.2112458,-119.1372337,POINT(-119.1372337 46.2112458)
9/29/16 21:00,USA,North Sioux City,SD,Light,"White light ball moving south to north, then up.",42.5272168,-96.4830863,POINT(-96.4830863 42.5272168)
9/29/16 20:00,USA,Fresno,CA,Light,Bright neutral white light seen travelling several miles across Fresno ,36.7295295,-119.7088612,POINT(-119.708861160756 36.7295295)
,,,,,until fading out. ((anonymous report)),,,
9/29/16 19:16,USA,Marietta,GA,Cylinder,"Cylinder with bi-plane type wings or appendages, reflected setting sun in a ",33.9528472,-84.5496147,POINT(-84.5496147 33.9528472)
,,,,,brilliant golden color.,,,
